customer_id,ebb_eligible
57cc2777bf5fedbcbfa448c7d8be1f1ef49e27c9,0
c5ba520345d97c7e20a6fdb34abd8035f55b2678,1
afddd53f1872bd308feb00644360485a928dd01d,0
33462772a13a29c6b982e548e042a8e6cb71f1b2,0
79205a180d78be8da9bd31efcb03a3a8be023cde,0
afa4a39ec29155b1f9c31b89c86600e9d5679bd0,1
4f1b2260256865597d6b1b72934cf13563d387c7,0
beda6d90e80bdc755501b50e1a83e0aa243199b8,1
f330206295c689461a6e5e6a1ac39a01d45579ad,0
1fd438c792ad378d727a01d39771bca7044c0792,0
2660c79113cff3b8ca1b62f4d42e63fb5348ad07,0
eb90d35509b8f553d00a4c136c8504940f960146,1
5a1321cfdae86435b33fa5df1b02fb90846fb040,1
5e8519a906b0e5491a882b5dd9258f690d31b84d,0
602a9c30f0d638a43be3bc59ffaaf1c13e246960,0
f7577d41479ec07af02377eab64f4981876a4628,1
246602fa7ac875e48ecd01de583b6aa39c3c0815,1
ae3e61dc73647fb4fe8b954f0dfc844b9f821e82,1
a533dd22b445e1ce8886e32f1f01a251d1bd01d6,1
6f6bf3639d624a0ff6a02a413d0b8606c6665e17,1
8292df22015cc0dcba1a3c28e7cc648f6e190152,1
9d10845dc88185e0c19721b47509f66b545b2e32,1
7fcaab2e39ccdeb31e092ba3b9e32689ba76611e,1
2a8238d10e0a430c036b6ada0eec7228914de341,1
66c31d5f797380d05ba8ca8306db000264a7f747,0
b0908b5b83ee558c9a0f1d5ba9d5a97d1a8c7112,0
e2d9b7f478829a5da95287b5617d43ffd3ff55e0,0
d0b713b3df5f48c14ec795d30805001d49beaa1d,1
e89e37ce97d64deb64d7bf67c5ae648e9969ad48,0
f9783edf5e3e41b7e008e086fd6d3a90fce647bd,0
4af0472ed81f9962d0352e5e4e0855362962662d,0
65d3275e783b0c8876c964a5ed8be6c371204ee5,0
4796e78dbb7800053ea7fde939b4ffa0869e88c3,0
9c026bc922d772a810e7861b653754e05011b788,1
8e0845bc5f0f26bdb71c9de59a649b2ba85723bb,1
93ae48fc37098b3aee28202519c2151be677c482,0
2344f5c9e2b4f96fe4f0340a2863deda36ede2dc,0
3704dc9049de9df46f710a5271b911dff23b27d1,0
4826895c647af89fbbd089b139c95cb227e4ddf4,1
534c2ef07e425673367de7c0844ee61f2c4da256,1
6ed9d3abff9fa795160cfff68f1561d074af41a5,1
e992d89297252bce7a01b29ff5ad50a5a633b5be,1
1e8f7d07243cceb26ba02469569a82ee7112a577,1
a3ee61d296b1325a7662d8aae471f971584d6ce8,1
41cb16d5491ec3a57ee9481c36323f6b09d50660,1
6e238c55b6ff1bfeff960d3df5d7a2db6edebbf8,0
f6540b23fef121fce816c416e1e05da373921287,0
e73742ad9144db096d91fed087475ba618f598a9,0
1ca73fc3bd54be73a4bdedc58ec0872f0db214ea,1
0cb9bc1601115f2a87bbf073c8f484fe91a5973f,0
4ea22bd46082fcc268f222ef8ac85a8f60edb36c,0
a6687bc77263ee49ac61f43867a22c1acff91c74,1
9852f72be855fc661743fa4054464cbaba350fef,0
28032af015fc23f533cffa3f2258ca7c716e0409,1
ccc653c838bdb29ca8554bd8b4be9f8ef1baf4a9,1
711c2f9315ddd122be9626378ced000cbdafb0fd,0
d549df1b8cea887b28f3aadf31e5c4b4729b84ab,0
0e9be7258a0df8a48b50b72c0be2cd5fc7367961,0
6f47e03747ad7d528ace31b0514250b52d44c353,1
39f5f9e922a162e68cba152560294b17848a26bd,1
81de3aeb8bd065ee03ab74f93433ce2dd44ea71e,0
ba3a5928305ea5488b62a9aad4123a25b5320203,0
82ce875ca9805c5dca637f5ff72a10a4e98a19cb,1
4249f2ef0c839923eb8ce7411e54db13a01707d5,0
050531f7c56ad9fdfd30865e0baa3549f3486f50,0
3589da56e439429330166ea6a25c8f21c2e3fa92,1
5c142637824e1df95b733a37b31055ae64cce45d,1
d251f528986b64cce1b3e5802cdcfde918eae3b9,1
cb154d4782987f9c49f2d4c5292784e8d528a957,0
